job_1,job_2,bhattacharyya_coefficient
Clerk,CustomerSupport,2721.981661753218
Clerk,DS,1587.5732956156314
Clerk,EE,1997.9330605904727
Clerk,Finance,2136.865278345125
Clerk,PM,2357.7035221282736
Clerk,SDE,1580.368749268752
CustomerSupport,DS,2216.341421264565
CustomerSupport,EE,2411.216594922476
CustomerSupport,Finance,2465.100370146439
CustomerSupport,PM,2700.6582757025226
CustomerSupport,SDE,2114.2539025493957
DS,EE,3280.7630330382676
DS,Finance,2955.101341892122
DS,PM,2714.9241217254994
DS,SDE,3970.408851492518
EE,Finance,2527.591392395696
EE,PM,3138.1925783843226
EE,SDE,3222.1675964288647
Finance,PM,3001.9176655907736
Finance,SDE,2256.8259720115248
PM,SDE,2604.7050075757597
