term,job,frequency,normalized
customer service,Clerk,471,55
datum,Clerk,453,53
applicant,Clerk,398,47
types time,Clerk,394,46
la,Clerk,326,38
administrative assistant,Clerk,325,38
year preferred,Clerk,295,34
work remotely,Clerk,279,33
time permanentsalary,Clerk,235,27
ability work,Clerk,229,27
communication skills,Clerk,223,26
job types,Clerk,219,25
invoice,Clerk,212,25
attention detail,Clerk,207,24
fast paced,Clerk,193,22
data entry,Clerk,187,22
receptionist,Clerk,182,21
preferred work,Clerk,177,20
microsoft office,Clerk,174,20
administrative support,Clerk,153,18
scheduling,Clerk,151,17
time management,Clerk,140,16
shiftmonday,Clerk,139,16
start date,Clerk,136,16
s,Clerk,136,16
careschedule,Clerk,135,15
outlook,Clerk,132,15
years experience,Clerk,131,15
work independently,Clerk,130,15
payroll,Clerk,126,14
vendor,Clerk,126,14
job type,Clerk,122,14
work environment,Clerk,121,14
preferred experience,Clerk,120,14
real estate,Clerk,118,13
organizational skills,Clerk,114,13
vaccination,Clerk,113,13
experience administrative,Clerk,113,13
ental,Clerk,113,13
proficiency,Clerk,112,13
word excel,Clerk,110,13
accounts payable,Clerk,109,12
careschedule hour,Clerk,105,12
hourbenefits,Clerk,102,12
law clerk,Clerk,102,12
written communication,Clerk,101,11
health care,Clerk,101,11
econdary school,Clerk,100,11
able work,Clerk,99,11
join team,Clerk,99,11
billing,Clerk,99,11
nous,Clerk,99,11
successful candidate,Clerk,98,11
cover letter,Clerk,98,11
problem solving,Clerk,97,11
careextended health,Clerk,96,11
school preferred,Clerk,96,11
high school,Clerk,94,11
skills ability,Clerk,94,11
verbal written,Clerk,93,11
interpersonal skills,Clerk,89,10
human resources,Clerk,88,10
health safety,Clerk,88,10
paced environment,Clerk,87,10
id,Clerk,84,9
policies procedures,Clerk,84,9
ms office,Clerk,83,9
aux,Clerk,83,9
clerical duties,Clerk,82,9
time time,Clerk,82,9
medical office,Clerk,82,9
ideal candidate,Clerk,81,9
assistant year,Clerk,81,9
required work,Clerk,81,9
avec,Clerk,81,9
years preferred,Clerk,80,9
team members,Clerk,80,9
de la,Clerk,78,9
team player,Clerk,78,9
computer skills,Clerk,77,9
office administration,Clerk,77,9
monday friday,Clerk,76,8
management skills,Clerk,76,8
permanentsalary hourbenefits,Clerk,76,8
flexibility,Clerk,76,8
high level,Clerk,75,8
job description,Clerk,74,8
carelife,Clerk,74,8
experience working,Clerk,74,8
minimum years,Clerk,74,8
confidentiality,Clerk,73,8
bookkeeping,Clerk,73,8
hourschedule,Clerk,73,8
hour shiftday,Clerk,73,8
shiftday,Clerk,73,8
fully vaccinated,Clerk,72,8
demonstrated ability,Clerk,72,8
type timesalary,Clerk,72,8
day day,Clerk,72,8
duties assigned,Clerk,71,8
health carelife,Clerk,71,8
accounts receivable,Clerk,71,8
date job,Clerk,71,8
written verbal,Clerk,71,8
school diploma,Clerk,69,8
hour shiftmonday,Clerk,69,8
time hours,Clerk,68,8
selected interview,Clerk,68,8
à la,Clerk,68,8
internal external,Clerk,67,7
caredisability,Clerk,67,7
powerpoint,Clerk,67,7
office assistant,Clerk,67,7
grocery,Clerk,67,7
