term,job,frequency,normalized
datum,EE,541,80
la,EE,537,79
applicant,EE,376,55
c,EE,345,51
years experience,EE,333,49
communication skills,EE,271,40
automation,EE,252,37
equal opportunity,EE,214,31
technician,EE,198,29
opportunity employer,EE,192,28
problem solving,EE,184,27
supplier,EE,183,27
ability work,EE,181,26
software development,EE,178,26
product development,EE,170,25
experience working,EE,168,25
minimum years,EE,164,24
validation,EE,151,22
electrical engineering,EE,151,22
computer science,EE,151,22
types time,EE,150,22
work environment,EE,146,21
firmware,EE,146,21
fast paced,EE,144,21
de la,EE,136,20
avec,EE,135,20
schematic,EE,134,19
python,EE,134,19
's degree,EE,130,19
siemens,EE,127,18
team members,EE,124,18
familiarity,EE,124,18
written communication,EE,123,18
sexual orientation,EE,122,18
electrical electronic,EE,120,17
cad,EE,118,17
proficiency,EE,117,17
stakeholder,EE,117,17
s,EE,117,17
evertz,EE,117,17
instrumentation,EE,115,17
hardware software,EE,113,16
bachelor 's,EE,112,16
g,EE,112,16
national origin,EE,111,16
project management,EE,110,16
technical support,EE,108,16
work remotely,EE,106,15
successful candidate,EE,105,15
vendor,EE,105,15
verbal written,EE,104,15
gender identity,EE,99,14
qualified applicants,EE,98,14
à la,EE,98,14
design development,EE,97,14
control systems,EE,97,14
c c,EE,97,14
veteran status,EE,96,14
new product,EE,96,14
job description,EE,95,14
fpga,EE,95,14
world ’s,EE,94,13
rf,EE,93,13
working knowledge,EE,92,13
embedded software,EE,92,13
join team,EE,91,13
team player,EE,91,13
calibration,EE,90,13
work experience,EE,90,13
race color,EE,89,13
bachelor’s degree,EE,89,13
aux,EE,88,13
root cause,EE,86,12
nous,EE,86,12
degree electrical,EE,85,12
competency,EE,85,12
skills ability,EE,84,12
pcb,EE,84,12
autocad,EE,83,12
matlab,EE,83,12
et de,EE,83,12
cutting edge,EE,83,12
job types,EE,81,12
work closely,EE,81,12
color religion,EE,80,11
careschedule,EE,80,11
paced environment,EE,78,11
attention detail,EE,77,11
vaccination,EE,76,11
regard race,EE,76,11
end end,EE,76,11
fabrication,EE,76,11
teamwork,EE,75,11
supply chain,EE,75,11
work independently,EE,74,11
expectation,EE,74,11
able work,EE,74,11
health safety,EE,73,10
applicants receive,EE,73,10
best practices,EE,72,10
receive consideration,EE,72,10
high quality,EE,72,10
assurance,EE,72,10
written verbal,EE,72,10
ansys,EE,72,10
d,EE,71,10
orientation gender,EE,71,10
real time,EE,71,10
deliverable,EE,70,10
consideration employment,EE,69,10
test equipment,EE,68,10
qui,EE,68,10
require accommodation,EE,67,9
development team,EE,67,9
accountability,EE,66,9
mechanical engineering,EE,66,9
canada ’s,EE,66,9
power electronics,EE,66,9
employment equity,EE,65,9
customer service,EE,65,9
connaissance,EE,65,9
north america,EE,64,9
interpersonal skills,EE,64,9
time permanentsalary,EE,64,9
selected interview,EE,64,9
et les,EE,64,9
et des,EE,64,9
caredisability,EE,64,9
solving skills,EE,63,9
software engineering,EE,63,9
engineering computer,EE,63,9
employment regard,EE,62,9
provide technical,EE,62,9
travail,EE,62,9
robotics,EE,62,9
electro,EE,62,9
recruitment process,EE,61,9
technologist,EE,61,9
carelife,EE,61,9
analytics,EE,61,9
ideal candidate,EE,60,8
semiconductor,EE,60,8
continuous improvement,EE,60,8
research development,EE,60,8
job type,EE,60,8
related field,EE,60,8
clearance,EE,60,8
religion sex,EE,60,8
oral written,EE,59,8
excellent communication,EE,59,8
opal,EE,59,8
sql,EE,59,8
software hardware,EE,58,8
work canada,EE,58,8
health carelife,EE,58,8
product design,EE,58,8
ea,EE,58,8
experience developing,EE,58,8
opal retweet,EE,58,8
mechanical design,EE,58,8
engineering team,EE,58,8
scheduling,EE,58,8
degree computer,EE,57,8
interview contacted,EE,57,8
microsoft office,EE,57,8
optimization,EE,57,8
united states,EE,56,8
quality assurance,EE,56,8
physic,EE,56,8
preferred work,EE,56,8
produits,EE,56,8
syntronic,EE,56,8
fidus,EE,56,8
key responsibilities,EE,55,8
protected veteran,EE,55,8
paybenefits,EE,55,8
thank applicants,EE,55,8
hw,EE,55,8
diversity inclusion,EE,54,8
workflow,EE,54,8
responsibilities include,EE,54,8
computer engineering,EE,54,8
duties responsibilities,EE,54,8
world class,EE,54,8
insuranceon site,EE,54,8
insuranceon,EE,54,8
willingness,EE,54,8
plc,EE,54,8
time management,EE,53,7
management skills,EE,53,7
fully vaccinated,EE,53,7
id,EE,53,7
votre,EE,53,7
mechanic,EE,53,7
work life,EE,53,7
rrsp,EE,53,7
internal external,EE,52,7
procurement,EE,52,7
sex sexual,EE,52,7
organizational skills,EE,52,7
qa,EE,52,7
test plans,EE,52,7
education experience,EE,52,7
lifecycle,EE,52,7
new products,EE,51,7
ms office,EE,51,7
long term,EE,51,7
high speed,EE,51,7
engineering equivalent,EE,50,7
team environment,EE,50,7
hands experience,EE,50,7
high level,EE,50,7
new technologies,EE,50,7
high performance,EE,50,7
nova scotia,EE,50,7
satisfaction,EE,50,7
work team,EE,50,7
aptitude,EE,50,7
mindset,EE,50,7
careschedule hour,EE,50,7
engineering design,EE,49,7
engineering related,EE,49,7
subsystem,EE,49,7
benefits package,EE,49,7
mechanical electrical,EE,49,7
life balance,EE,49,7
onsite,EE,49,7
flexible work,EE,49,7
skills experience,EE,48,7
analyzer,EE,47,6
shiftmonday,EE,47,6
years preferred,EE,47,6
valid driver,EE,47,6
self motivated,EE,47,6
flexibility,EE,46,6
consult,EE,46,6
emc,EE,46,6
ethernet,EE,46,6
industry leading,EE,46,6
ental,EE,46,6
iot,EE,46,6
opportunity work,EE,45,6
simulink,EE,45,6
knowledge experience,EE,45,6
values diversity,EE,45,6
electrical mechanical,EE,45,6
embedded systems,EE,45,6
git,EE,45,6
preferred experience,EE,45,6
driver ’s,EE,45,6
design manufacturing,EE,45,6
design develop,EE,45,6
telecommunication,EE,45,6
development experience,EE,45,6
cause analysis,EE,45,6
accessibility,EE,44,6
wide range,EE,44,6
marital status,EE,44,6
optic,EE,44,6
electronic systems,EE,44,6
design engineer,EE,44,6
required work,EE,44,6
de conception,EE,44,6
samsung,EE,44,6
system design,EE,43,6
’s license,EE,43,6
persons disabilities,EE,43,6
products services,EE,43,6
project manager,EE,43,6
self starter,EE,42,6
commissioning,EE,42,6
solidworks,EE,42,6
jira,EE,42,6
travailler,EE,42,6
hvac,EE,42,6
day day,EE,42,6
logiciel,EE,42,6
life cycle,EE,41,6
origin disability,EE,41,6
degree preferred,EE,41,6
years relevant,EE,41,6
temp,EE,41,6
project managers,EE,41,6
management system,EE,41,6
considered asset,EE,41,6
lte,EE,41,6
ability communicate,EE,41,6
work home,EE,41,6
human resources,EE,41,6
hilti,EE,41,6
selection process,EE,40,5
innovator,EE,40,5
ci,EE,40,5
competitive salary,EE,40,5
start date,EE,40,5
accommodation disability,EE,40,5
reasonable accommodation,EE,40,5
verbal communication,EE,40,5
type time,EE,40,5
site parkingpaid,EE,40,5
parkingpaid time,EE,40,5
parkingpaid,EE,40,5
la conception,EE,40,5
excellent written,EE,40,5
software engineer,EE,40,5
policies procedures,EE,40,5
experience designing,EE,39,5
ability read,EE,39,5
engineering teams,EE,39,5
pay bonus,EE,39,5
et la,EE,39,5
projets,EE,39,5
permanentbenefits,EE,39,5
oscilloscope,EE,39,5
electronics design,EE,39,5
previous experience,EE,39,5
project team,EE,39,5
state art,EE,38,5
disability protected,EE,38,5
preferred qualifications,EE,38,5
experience software,EE,38,5
careextended health,EE,38,5
environnement,EE,38,5
electrical electronics,EE,38,5
electronic components,EE,38,5
operating systems,EE,38,5
ethic,EE,38,5
software engineers,EE,38,5
o,EE,38,5
design house,EE,38,5
world 's,EE,37,5
mechatronics,EE,37,5
include limited,EE,37,5
diagnostics,EE,37,5
british columbia,EE,37,5
javascript,EE,37,5
afin,EE,37,5
et à,EE,37,5
connaissances,EE,37,5
engineer join,EE,37,5
including limited,EE,37,5
related experience,EE,37,5
altium,EE,37,5
mda,EE,37,5
word excel,EE,36,5
systems engineering,EE,36,5
design software,EE,36,5
productivity,EE,36,5
science engineering,EE,36,5
decision making,EE,36,5
converter,EE,36,5
time permanentbenefits,EE,36,5
perk,EE,36,5
ses,EE,36,5
cover letter,EE,36,5
celestica,EE,36,5
human rights,EE,35,5
matlab simulink,EE,35,5
scrum,EE,35,5
development new,EE,35,5
control system,EE,35,5
education bachelor,EE,35,5
audit,EE,35,5
global leader,EE,35,5
working environment,EE,35,5
’s best,EE,35,5
high voltage,EE,35,5
detail oriented,EE,35,5
oral communication,EE,35,5
signal processing,EE,35,5
competitive compensation,EE,35,5
security clearance,EE,35,5
canada united,EE,35,5
locomotive engineer,EE,35,5
leading global,EE,35,5
qc,EE,35,5
siemens canada,EE,35,5
nuvation,EE,35,5
employer committed,EE,34,5
duties assigned,EE,34,5
strong understanding,EE,34,5
degree engineering,EE,34,5
machine learning,EE,34,5
employment opportunity,EE,34,5
additional information,EE,34,5
diverse workforce,EE,34,5
applicants interest,EE,34,5
aws,EE,34,5
gestion,EE,34,5
excellent verbal,EE,34,5
customer support,EE,34,5
strong communication,EE,34,5
design reviews,EE,34,5
ea sports,EE,34,5
engineer responsible,EE,34,5
professional development,EE,34,5
design implementation,EE,34,5
equivalent experience,EE,34,5
leading edge,EE,34,5
system integration,EE,33,4
outlook,EE,33,4
equal employment,EE,33,4
track record,EE,33,4
identity national,EE,33,4
status disability,EE,33,4
sw,EE,33,4
wiring,EE,33,4
electronics engineering,EE,33,4
life insurance,EE,33,4
communicating,EE,33,4
carelife insuranceon,EE,33,4
dans la,EE,33,4
conductor locomotive,EE,33,4
mission critical,EE,33,4
extensive experience,EE,33,4
committed providing,EE,32,4
computer skills,EE,32,4
powerpoint,EE,32,4
emission,EE,32,4
highly motivated,EE,32,4
yearadditional pay,EE,32,4
yearadditional,EE,32,4
tous les,EE,32,4
exigences,EE,32,4
vos,EE,32,4
defect,EE,32,4
ups,EE,32,4
competence,EE,32,4
alarm,EE,32,4
assistance programextended,EE,32,4
programextended health,EE,32,4
solid understanding,EE,32,4
quality standards,EE,32,4
knowledge skills,EE,32,4
programming languages,EE,32,4
north american,EE,32,4
hiring process,EE,32,4
driver 's,EE,31,4
experience c,EE,31,4
hydro,EE,31,4
un environnement,EE,31,4
bonne,EE,31,4
relevant experience,EE,31,4
engineering degree,EE,31,4
apis,EE,31,4
abb,EE,31,4
insuranceextended health,EE,31,4
product quality,EE,31,4
csa,EE,31,4
technical expertise,EE,31,4
incentive,EE,31,4
written oral,EE,31,4
systems equipment,EE,31,4
dsp,EE,31,4
mechanical systems,EE,31,4
electrical engineer,EE,31,4
product introduction,EE,31,4
managed companies,EE,31,4
management team,EE,30,4
applicants disabilities,EE,30,4
p.,EE,30,4
technical knowledge,EE,30,4
's license,EE,30,4
general motors,EE,30,4
analog digital,EE,30,4
development including,EE,30,4
year preferred,EE,30,4
health dental,EE,30,4
welcome applications,EE,30,4
cnc,EE,30,4
de travail,EE,30,4
qualified individuals,EE,30,4
que vous,EE,30,4
strong knowledge,EE,30,4
customer satisfaction,EE,30,4
english french,EE,30,4
health careflexible,EE,30,4
careflexible,EE,30,4
communication protocols,EE,30,4
remote work,EE,30,4
development teams,EE,30,4
high tech,EE,30,4
customer requirements,EE,30,4
caredisability insuranceextended,EE,30,4
company ’s,EE,30,4
waterloo,EE,30,4
p. eng,EE,29,4
design verification,EE,29,4
consumer electronics,EE,29,4
multiple projects,EE,29,4
leadership skills,EE,29,4
hour shiftmonday,EE,29,4
bonus paybenefits,EE,29,4
question s,EE,29,4
cross functional,EE,29,4
homeschedule,EE,29,4
careschedule monday,EE,29,4
caredisability insuranceemployee,EE,29,4
insuranceemployee,EE,29,4
position summary,EE,29,4
mem,EE,29,4
product lines,EE,29,4
experience design,EE,29,4
pension plan,EE,29,4
boiler,EE,29,4
product line,EE,29,4
bluetooth,EE,29,4
eligible work,EE,29,4
wsp,EE,28,4
circuit design,EE,28,4
verification validation,EE,28,4
available request,EE,28,4
demonstrated ability,EE,28,4
support product,EE,28,4
experience embedded,EE,28,4
yearbenefits,EE,28,4
ability travel,EE,28,4
business needs,EE,28,4
french english,EE,28,4
corrective action,EE,28,4
applications qualified,EE,28,4
new opportunities,EE,28,4
look forward,EE,28,4
motorola,EE,28,4
soldering,EE,28,4
insuranceemployee assistance,EE,28,4
de développement,EE,28,4
besoins,EE,28,4
hardware design,EE,28,4
casual dresscompany,EE,28,4
dresscompany,EE,28,4
scripting languages,EE,28,4
scada,EE,28,4
system level,EE,28,4
timely manner,EE,28,4
geotab,EE,28,4
software design,EE,27,4
professional services,EE,27,4
advanced technology,EE,27,4
design team,EE,27,4
constraint,EE,27,4
come join,EE,27,4
new existing,EE,27,4
skills abilities,EE,27,4
essential functions,EE,27,4
paybenefits casual,EE,27,4
experience asset,EE,27,4
development process,EE,27,4
afin de,EE,27,4
cost effective,EE,27,4
experience following,EE,27,4
burnaby,EE,27,4
ans,EE,27,4
blueprint,EE,27,4
connectivity,EE,27,4
health care,EE,27,4
eventsdental,EE,27,4
combination education,EE,27,4
characterization,EE,27,4
electro mechanical,EE,27,4
development projects,EE,27,4
conditioning,EE,27,4
propulsion,EE,27,4
