term,job,frequency,normalized
customer service,Clerk,434,56
work remotely,Clerk,256,33
communication skills,Clerk,209,27
invoice,Clerk,204,26
attention to detail,Clerk,193,25
fast paced,Clerk,178,23
data entry,Clerk,173,22
microsoft office,Clerk,160,20
scheduling,Clerk,144,18
time management,Clerk,128,16
work independently,Clerk,126,16
outlook,Clerk,123,16
payroll,Clerk,121,15
vendor,Clerk,118,15
vaccination,Clerk,112,14
real estate,Clerk,111,14
organizational skills,Clerk,108,14
word,Clerk,105,13
excel,Clerk,105,13
billing,Clerk,95,12
hourbenefits,Clerk,95,12
health care,Clerk,94,12
school preferred,Clerk,92,12
join team,Clerk,91,11
able work,Clerk,90,11
cover letter,Clerk,90,11
careextended health,Clerk,89,11
skills ability,Clerk,89,11
problem solving,Clerk,89,11
high school,Clerk,88,11
verbal written,Clerk,87,11
human resources,Clerk,85,11
interpersonal skills,Clerk,85,11
health safety,Clerk,83,10
id,Clerk,80,10
policies procedures,Clerk,80,10
paced environment,Clerk,80,10
clerical duties,Clerk,79,10
ms office,Clerk,78,10
law clerk,Clerk,76,9
ideal candidate,Clerk,75,9
years preferred,Clerk,75,9
computer skills,Clerk,74,9
medical office,Clerk,74,9
assistant year,Clerk,74,9
required work,Clerk,74,9
job description,Clerk,73,9
monday friday,Clerk,73,9
team members,Clerk,73,9
confidentiality,Clerk,72,9
permanentsalary hourbenefits,Clerk,72,9
team player,Clerk,72,9
management skills,Clerk,71,9
office administration,Clerk,71,9
date job,Clerk,71,9
flexibility,Clerk,71,9
time time,Clerk,70,9
high level,Clerk,70,9
bookkeeping,Clerk,70,9
fully vaccinated,Clerk,69,9
duties assigned,Clerk,68,8
demonstrated ability,Clerk,68,8
carelife,Clerk,67,8
written verbal,Clerk,66,8
time hours,Clerk,65,8
powerpoint,Clerk,65,8
selected interview,Clerk,65,8
hour shiftmonday,Clerk,65,8
day day,Clerk,65,8
à la,Clerk,65,8
education experience,Clerk,64,8
health carelife,Clerk,64,8
school diploma,Clerk,64,8
interview contacted,Clerk,64,8
hourschedule,Clerk,64,8
receipt,Clerk,64,8
hour shiftday,Clerk,64,8
shiftday,Clerk,64,8
caredisability,Clerk,63,8
accounts receivable,Clerk,63,8
duties required,Clerk,62,8
working knowledge,Clerk,61,7
phone calls,Clerk,61,7
office assistant,Clerk,61,7
type timesalary,Clerk,61,7
multi-task,Clerk,60,7
ental careextended,Clerk,60,7
spreadsheet,Clerk,59,7
receptionist year,Clerk,59,7
paybenefits,Clerk,58,7
covid,Clerk,58,7
scanning,Clerk,58,7
medical terminology,Clerk,58,7
requisition,Clerk,56,7
duties responsibilities,Clerk,56,7
thank applicants,Clerk,56,7
office supplies,Clerk,55,7
related experience,Clerk,55,7
yearbenefits,Clerk,55,7
service skills,Clerk,55,7
duties include,Clerk,55,7
wellness,Clerk,54,7
grocery,Clerk,54,7
administrative duties,Clerk,53,6
excellent communication,Clerk,53,6
hours week,Clerk,53,6
responsibilities include,Clerk,53,6
social media,Clerk,53,6
detail oriented,Clerk,53,6
timely manner,Clerk,53,6
selection process,Clerk,53,6
deli,Clerk,53,6
preferred receptionist,Clerk,52,6
include limited,Clerk,52,6
opportunity employer,Clerk,51,6
reconciliation,Clerk,51,6
considered asset,Clerk,50,6
insuranceon site,Clerk,50,6
insuranceon,Clerk,50,6
general office,Clerk,50,6
office administrator,Clerk,50,6
competency,Clerk,50,6
vaccine,Clerk,49,6
permanentsalary yearbenefits,Clerk,49,6
work pressure,Clerk,49,6
excellent customer,Clerk,49,6
paperwork,Clerk,49,6
travail,Clerk,48,6
exceptional customer,Clerk,48,6
work team,Clerk,48,6
combination education,Clerk,47,6
human rights,Clerk,47,6
ay,Clerk,47,6
quickbooks,Clerk,47,6
permanentbenefits,Clerk,47,6
teamwork,Clerk,46,6
work fast,Clerk,46,6
supplier,Clerk,46,6
