term,job,frequency,normalized
customer service,CustomerSupport,1417,158
communication skills,CustomerSupport,297,33
work remotely,CustomerSupport,262,29
fast paced,CustomerSupport,252,28
problem solving,CustomerSupport,167,18
attention to detail,CustomerSupport,137,15
scheduling,CustomerSupport,127,14
microsoft office,CustomerSupport,117,13
team player,CustomerSupport,115,12
time management,CustomerSupport,110,12
interpersonal skills,CustomerSupport,102,11
outlook,CustomerSupport,96,10
written skills,CustomerSupport,91,10
verbal skills,CustomerSupport,91,10
service skills,CustomerSupport,91,10
multi-task,CustomerSupport,90,10
management skills,CustomerSupport,89,9
merchandise,CustomerSupport,82,9
organizational skills,CustomerSupport,74,8
accountability,CustomerSupport,74,8
travail,CustomerSupport,74,8
hour shiftday,CustomerSupport,73,8
shiftday,CustomerSupport,73,8
health safety,CustomerSupport,72,8
experience asset,CustomerSupport,71,7
word excel,CustomerSupport,71,7
flexibility,CustomerSupport,70,7
time hours,CustomerSupport,70,7
referral,CustomerSupport,70,7
national origin,CustomerSupport,70,7
required work,CustomerSupport,70,7
year required,CustomerSupport,70,7
vendor,CustomerSupport,69,7
computer skills,CustomerSupport,69,7
ethic,CustomerSupport,69,7
work independently,CustomerSupport,69,7
contact center,CustomerSupport,69,7
hour shiftmonday,CustomerSupport,68,7
carelife,CustomerSupport,67,7
ideal candidate,CustomerSupport,67,7
sales team,CustomerSupport,67,7
perk,CustomerSupport,67,7
hourbenefits,CustomerSupport,67,7
ale,CustomerSupport,67,7
health carelife,CustomerSupport,66,7
duties responsibilities,CustomerSupport,66,7
applicants interest,CustomerSupport,66,7
committed creating,CustomerSupport,66,7
vaccination,CustomerSupport,65,7
team member,CustomerSupport,65,7
duties assigned,CustomerSupport,64,7
ms office,CustomerSupport,64,7
work experience,CustomerSupport,64,7
wealth management,CustomerSupport,63,7
data entry,CustomerSupport,62,6
wellness,CustomerSupport,62,6
human resources,CustomerSupport,62,6
qui,CustomerSupport,62,6
candidates selected,CustomerSupport,61,6
work team,CustomerSupport,61,6
reasonable accommodation,CustomerSupport,61,6
customer needs,CustomerSupport,61,6
teamwork,CustomerSupport,61,6
hourschedule,CustomerSupport,61,6
timely manner,CustomerSupport,60,6
willingness,CustomerSupport,60,6
benefits package,CustomerSupport,59,6
north america,CustomerSupport,59,6
sales service,CustomerSupport,59,6
working environment,CustomerSupport,59,6
inclusive accessible,CustomerSupport,59,6
merchandising,CustomerSupport,59,6
high quality,CustomerSupport,59,6
caredisability,CustomerSupport,59,6
requisition,CustomerSupport,59,6
work home,CustomerSupport,59,6
crm,CustomerSupport,58,6
administrative assistant,CustomerSupport,58,6
phone calls,CustomerSupport,58,6
previous experience,CustomerSupport,58,6
positive attitude,CustomerSupport,58,6
english french,CustomerSupport,58,6
precaution s,CustomerSupport,58,6
committed providing,CustomerSupport,57,6
powerpoint,CustomerSupport,57,6
world class,CustomerSupport,57,6
customer experiences,CustomerSupport,57,6
travailler,CustomerSupport,57,6
accessible environment,CustomerSupport,57,6
cleaning procedures,CustomerSupport,57,6
ay,CustomerSupport,56,6
ental careextended,CustomerSupport,56,6
professional manner,CustomerSupport,56,6
shipment,CustomerSupport,56,6
french english,CustomerSupport,56,6
et les,CustomerSupport,56,6
la clientèle,CustomerSupport,56,6
administrative support,CustomerSupport,55,6
accessibility,CustomerSupport,55,6
solving skills,CustomerSupport,55,6
concierge,CustomerSupport,55,6
recruitment team,CustomerSupport,55,6
customer inquiries,CustomerSupport,54,6
competitive compensation,CustomerSupport,54,6
supplier,CustomerSupport,54,6
payroll,CustomerSupport,54,6
disinfecting cleaning,CustomerSupport,54,6
procedures place,CustomerSupport,54,6
