term,job,frequency,normalized
c,EE,345,51
communication skills,EE,270,40
automation,EE,252,37
problem solving,EE,184,27
software development,EE,178,26
product development,EE,170,25
validation,EE,151,22
firmware,EE,145,21
fast paced,EE,144,21
schematic,EE,134,19
python,EE,134,19
cad,EE,118,17
instrumentation,EE,115,17
project management,EE,110,16
technical support,EE,107,15
work remotely,EE,106,15
written skills,EE,104,15
verbal skills,EE,104,15
control systems,EE,97,14
fpga,EE,95,14
world ’s,EE,94,14
rf,EE,93,13
working knowledge,EE,92,13
embedded software,EE,92,13
join team,EE,91,13
team player,EE,91,13
calibration,EE,90,13
work experience,EE,90,13
race color,EE,88,13
bachelor’s degree,EE,88,13
root cause,EE,86,12
degree electrical,EE,85,12
competency,EE,85,12
skills ability,EE,84,12
pcb,EE,84,12
autocad,EE,83,12
matlab,EE,83,12
cutting edge,EE,83,12
job types,EE,81,12
work closely,EE,81,12
careschedule,EE,80,11
color religion,EE,79,11
paced environment,EE,78,11
attention detail,EE,77,11
vaccination,EE,76,11
end end,EE,76,11
fabrication,EE,76,11
regard race,EE,75,11
teamwork,EE,75,11
supply chain,EE,75,11
work independently,EE,74,11
expectation,EE,74,11
able work,EE,74,11
health safety,EE,73,10
best practices,EE,72,10
applicants receive,EE,72,10
assurance,EE,72,10
written verbal,EE,72,10
ansys,EE,72,10
d,EE,71,10
receive consideration,EE,71,10
orientation gender,EE,71,10
high quality,EE,71,10
real time,EE,70,10
deliverable,EE,69,10
test equipment,EE,68,10
consideration employment,EE,68,10
qui,EE,68,10
require accommodation,EE,67,9
development team,EE,67,9
accountability,EE,66,9
mechanical engineering,EE,66,9
canada ’s,EE,66,9
employment equity,EE,65,9
customer service,EE,65,9
connaissance,EE,65,9
power electronics,EE,65,9
north america,EE,64,9
interpersonal skills,EE,64,9
time permanentsalary,EE,64,9
selected interview,EE,64,9
et les,EE,64,9
et des,EE,64,9
caredisability,EE,64,9
solving skills,EE,63,9
software engineering,EE,63,9
engineering computer,EE,63,9
provide technical,EE,62,9
travail,EE,62,9
robotics,EE,62,9
electro,EE,62,9
recruitment process,EE,61,9
technologist,EE,61,9
employment regard,EE,61,9
carelife,EE,61,9
analytics,EE,61,9
ideal candidate,EE,60,8
semiconductor,EE,60,8
continuous improvement,EE,60,8
research development,EE,60,8
related field,EE,60,8
clearance,EE,60,8
oral written,EE,59,8
job type,EE,59,8
excellent communication,EE,59,8
opal,EE,59,8
religion sex,EE,59,8
software hardware,EE,58,8
work canada,EE,58,8
health carelife,EE,58,8
product design,EE,58,8
ea,EE,58,8
experience developing,EE,58,8
opal retweet,EE,58,8
mechanical design,EE,58,8
engineering team,EE,58,8
sql,EE,58,8
scheduling,EE,58,8
interview contacted,EE,57,8
microsoft office,EE,57,8
optimization,EE,57,8
united states,EE,56,8
degree computer,EE,56,8
quality assurance,EE,56,8
physic,EE,56,8
preferred work,EE,56,8
produits,EE,56,8
syntronic,EE,56,8
fidus,EE,56,8
key responsibilities,EE,55,8
paybenefits,EE,55,8
thank applicants,EE,55,8
hw,EE,55,8
diversity inclusion,EE,54,8
workflow,EE,54,8
responsibilities include,EE,54,8
protected veteran,EE,54,8
computer engineering,EE,54,8
duties responsibilities,EE,54,8
world class,EE,54,8
insuranceon site,EE,54,8
insuranceon,EE,54,8
willingness,EE,54,8
plc,EE,54,8
time management,EE,53,7
management skills,EE,53,7
fully vaccinated,EE,53,7
id,EE,53,7
votre,EE,53,7
mechanic,EE,53,7
work life,EE,53,7
procurement,EE,52,7
sex sexual,EE,52,7
organizational skills,EE,52,7
qa,EE,52,7
test plans,EE,52,7
education experience,EE,52,7
rrsp,EE,52,7
lifecycle,EE,52,7
new products,EE,51,7
ms office,EE,51,7
long term,EE,51,7
high speed,EE,51,7
engineering equivalent,EE,50,7
team environment,EE,50,7
hands experience,EE,50,7
high level,EE,50,7
new technologies,EE,50,7
high performance,EE,50,7
nova scotia,EE,50,7
satisfaction,EE,50,7
work team,EE,50,7
aptitude,EE,50,7
mindset,EE,50,7
careschedule hour,EE,50,7
engineering design,EE,49,7
engineering related,EE,49,7
subsystem,EE,49,7
benefits package,EE,49,7
mechanical electrical,EE,49,7
life balance,EE,49,7
